車両形式,エンジン位置・駆動軸位置,全長,全幅,全高,ホイールベース,最低地上高,車両重量(kg),定員(名),車名,グレード,エンジンサイクル,使用燃料,気筒数配置,弁機構,総排気量(cc),最高出力(kw),最大トルク(Nm),燃料タンク容量(?),トランスミッション,タイヤ規格,10・15モード燃費(km/?),最小回転半径(m),東京標準現金価格(円),タイプ,外観写真,運転席写真
MH23S,4WD,3395,1475,1660,2400,150,860,4,ワゴンR,FX 4WD (4AT),4G,R,直3,DOHC,658,40,63,30,EAT,145/80R13,20.0,4.2,"1,188,600",軽自動車,,
MH23S,4WD,3395,1475,1660,2400,150,900,4,ワゴンR,FX リミテッド 4WD (CVT),4G,R,直3,DOHC,658,40,63,30,CVT,155/65R14,22.0,4.4,"1,330,350",軽自動車,,
MH23S,4WD,3395,1475,1660,2400,150,840,4,ワゴンR,FX アイドリングストップ (CVT),4G,R,直3,DOHC,658,40,63,30,CVT,145/80R13,25.0,4.2,"1,197,000",軽自動車,,
MH23S,FF,3395,1475,1675,2400,155,860,4,ワゴンR,スティングレイ X (CVT),4G,R,直3,DOHC,658,40,63,30,CVT,155/65R14,23.0,4.4,"1,286,250",軽自動車,,
MH23S,FF,3395,1475,1675,2400,155,880,4,ワゴンR,スティングレイ T (CVT),4G,R,直3,DOHC,658,47,95,30,CVT,155/65R14,21.5,4.4,"1,396,500",軽自動車,,
MH23S,4WD,3395,1475,1675,2400,150,910,4,ワゴンR,スティングレイ X 4WD (CVT),4G,R,直3,DOHC,658,40,63,30,CVT,155/65R14,22.0,4.4,"1,403,850",軽自動車,,
MH23S,4WD,3395,1475,1675,2400,150,930,4,ワゴンR,スティングレイ T 4WD (CVT),4G,R,直3,DOHC,658,47,95,30,CVT,155/65R14,20.5,4.4,"1,514,100",軽自動車,,
MF21S,FF,3395,1475,1620,2360,150,820,4,MRワゴン,G (4AT),4G,R,直3,DOHC,658,40,63,30,AT,155/65R13,21.0,4.1,"1,016,400",軽自動車,mr_wagon_ov.jpg,mr_wagon_drv.jpg
MF21S,FF,3395,1475,1620,2360,150,820,4,MRワゴン,X (4AT),4G,R,直3,DOHC,658,40,63,30,AT,155/65R13,21.0,4.1,"1,121,400",軽自動車,mr_wagon_ov.jpg,mr_wagon_drv.jpg
MF22S,4WD,3395,1475,1630,2360,150,870,4,MRワゴン,X 4WD (4AT),4G,R,直3,DOHC,658,40,63,30,AT,155/65R13,19.6,4.1,"1,239,000",軽自動車,,
MF22S,FF,3395,1475,1610,2360,145,850,4,MRワゴン,Wit TS (4AT),4G,R,直3,DOHC,658,44,83,30,AT,165/55R14,18.8,4.4,"1,252,650",軽自動車,mr_wagon_ov.jpg,mr_wagon_drv.jpg
MF22S,FF,3395,1475,1610,2360,145,830,4,MRワゴン,Wit GS (4AT),4G,R,直3,DOHC,658,40,63,30,AT,165/55R14,21.0,4.4,"1,100,400",軽自動車,,
MF22S,4WD,3395,1475,1620,2360,145,880,4,MRワゴン,Wit XS 4WD (4AT),4G,R,直3,DOHC,658,40,63,30,AT,165/55R14,19.6,4.4,"1,281,000",軽自動車,,
MF21S,4WD,3395,1475,1620,2360,145,900,4,MRワゴン,T 4WD (4AT),4G,R,直3,DOHC,658,44,83,30,AT,165/55R14,18.2,4.4,"1,349,250",軽自動車,mr_wagon_ov.jpg,mr_wagon_drv.jpg
DA64W,MR,3395,1475,1795,2400,155,920,4,エブリイワゴン,JP 標準ルーフ (3AT),4G,R,直3,DOHC,658,36,52,40,AT,155/70R13,15.8,4.5,"1,233,750",軽自動車,every_wagon_ov.jpg,
DA64W,MR,3395,1475,1795,2400,155,960,4,エブリイワゴン,JP ターボ標準ルーフ (4AT),4G,R,直3,DOHC,658,47,95,40,AT,155/70R13,15.2,4.5,"1,344,000",軽自動車,,
DA64W,MR,3395,1475,1795,2400,150,970,4,エブリイワゴン,PZ ターボ標準ルーフ (4AT),4G,R,直3,DOHC,658,47,95,40,AT,155/70R13,15.2,4.5,"1,428,000",軽自動車,,
DA64W,MR,3395,1475,1795,2400,150,990,4,エブリイワゴン,PZ ターボスペシャル 標準ルーフ (4AT),4G,R,直3,DOHC,658,47,95,40,AT,165/60R14,15.2,4.5,"1,554,000",軽自動車,,
DA64W,MR,3395,1475,1880,2400,150,990,4,エブリイワゴン,PZ ターボスペシャル ハイルーフ (4AT),4G,R,直3,DOHC,658,47,95,40,AT,165/60R14,15.2,4.5,"1,564,500",軽自動車,,
DA64W,M4WD,3395,1475,1880,2400,150,1000,4,エブリイワゴン,JP ターボハイルーフ 4WD (4AT),4G,R,直3,DOHC,658,47,95,40,AT,155/70R13,15.2,4.5,"1,480,500",軽自動車,,
DA64W,M4WD,3395,1475,1880,2400,150,1030,4,エブリイワゴン,JP ターボスペシャルハイルーフ 4WD (4AT),4G,R,直3,DOHC,658,47,95,40,AT,165/60R14,14.4,4.5,"1,690,500",軽自動車,,
JB23W,4WD,3395,1475,1680,2250,200,980,4,ジムニー,XG (5MT),4G,R,直3,DOHC,658,47,103,40,MT,175/80R16,16.4,4.8,"1,260,000",軽自動車,jimny_ov.jpg,
JB23W,4WD,3395,1475,1715,2250,200,1000,4,ジムニー,XC (4AT),4G,R,直3,DOHC,658,47,103,40,AT,175/80R16,14.8,4.8,"1,580,250",軽自動車,jimny_ov.jpg,
XB32S,FF,3715,1680,1590,2360,145,1050,5,スプラッシュ,(CVT),4G,R,直4,DOHC,1242,65,117,45,CVT,185/60R15,18.6,5.2,"1,239,000",コンパクト,,
RF91S,FF,4650,1820,1480,2700,145,1490,,キザシ,(CVT),4G,R,直4,DOHC,2393,138,230,63,CVT,235/45R18,12.6,5.5,"2,787,750",セダン,,
RF91S,4WD,4650,1820,1480,2700,145,1560,,キザシ,4WD (CVT),4G,R,直4,DOHC,2393,138,230,63,CVT,235/45R18,11.4,5.5,"2,997,750",セダン,,
MK21S,FF,3395,1475,1735,2400,150,920,,パレット,L (CVT),4G,R,直3,DOHC,658,40,63,30,CVT,155/65R13,21.5,4.2,"1,207,500",軽自動車,,
MK21S,FF,3395,1475,1735,2400,150,930,,パレット,X (CVT),4G,R,直3,DOHC,658,40,63,30,CVT,165/55R14,21.5,4.5,"1,207,500",軽自動車,,
MK21S,4WD,3395,1475,1745,2400,150,970,,パレット,L 4WD (CVT),4G,R,直3,DOHC,658,40,63,30,CVT,155/65R13,21.0,4.2,"1,326,150",軽自動車,,
MK21S,4WD,3395,1475,1745,2400,150,980,,パレット,X 4WD (CVT),4G,R,直3,DOHC,658,40,63,30,CVT,165/55R14,21.0,4.5,"1,389,150",軽自動車,,
MK21S,FF,3395,1475,1735,2400,150,930,,パレット,SW XS (CVT),4G,R,直3,DOHC,658,40,63,30,CVT,165/55R14,21.5,4.5,"1,428,000",軽自動車,,
MK21S,FF,3395,1475,1735,2400,150,960,,パレット,SW TS (CVT),4G,R,直3,DOHC,658,47,95,30,CVT,165/55R14,20.0,4.5,"1,569,750",軽自動車,,
MK21S,4WD,3395,1475,1745,2400,150,980,,パレット,SW XS 4WD (CVT),4G,R,直3,DOHC,658,40,63,30,CVT,165/55R14,21.0,4.5,"1,546,650",軽自動車,,
MK21S,4WD,3395,1475,1745,2400,150,1010,,パレット,SW TS 4WD (CVT),4G,R,直3,DOHC,658,47,95,30,CVT,165/55R14,19.0,4.5,"1,677,900",軽自動車,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
